id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
10670121,"Chaming, Bright One Bed Garden Flat",22330273,Chloe,,Croydon,51.40455186,-0.077455801,Entire home/apt,65,1,1,08/07/2016,0.34,1,30
14228161,Waddon Garden Apartment,82019130,Cassio,,Croydon,51.36831667,-0.117407643,Entire home/apt,135,5,0,,,3,337
579283,Beautiful garden flat South London,2848656,Elena,,Croydon,51.39841861,-0.079109342,Entire home/apt,40,1,10,02/01/2016,0.38,1,0
9085336,31 Stunning apartment- East Croydon,30629100,Gary,,Croydon,51.37960038,-0.091876539,Entire home/apt,65,5,10,05/06/2016,1.1,9,309
13949678,2 Beds flat 14 minutes from London city centre,36428041,Giorgio,,Croydon,51.3809355,-0.090099257,Entire home/apt,50,10,0,,,1,126
12825208,12b Delightful Contemporary Studio,30629100,Gary,,Croydon,51.38352434,-0.082706015,Entire home/apt,27,14,2,14/08/2016,0.91,9,271
10991861,Gorgeous flat 10 mins from station,10251288,Richard,,Croydon,51.37134081,-0.100810188,Entire home/apt,51,2,10,21/09/2016,1.54,1,157
14427919,"THE ISLAND, CROYDON",88789625,Nadeem,,Croydon,51.38133864,-0.09731241,Entire home/apt,53,1,3,25/09/2016,2.5,1,257
12921052,Comfy modern 2 bed home with great transport links,66093495,Ruth,,Croydon,51.3932915,-0.064848725,Entire home/apt,85,3,4,12/09/2016,0.92,1,216
15150101,Lovely & cosy 2Bedroom Apartment,73577900,Olu,,Croydon,51.40675887,-0.118888727,Entire home/apt,110,2,0,,,1,9
14385191,Crystal Palace Lover,31931958,Alli,,Croydon,51.41556945,-0.088919825,Entire home/apt,48,7,0,,,1,365
7832119,Magnificent Georgian-style Mansion,41243899,Amanda,,Croydon,51.33953508,-0.129317126,Entire home/apt,1191,1,23,02/10/2016,2.49,2,1
3880046,Capri Apartments Croydon - 1 Bed,8318434,Serviced,,Croydon,51.36841069,-0.096127706,Entire home/apt,79,4,0,,,2,31
14397524,Beautiful new house near station,87459801,Heidi,,Croydon,51.34568794,-0.109018817,Entire home/apt,199,3,0,,,2,103
473937,20min to central London sleeps 6,2349744,Subha,,Croydon,51.35265137,-0.09616545,Entire home/apt,110,1,1,10/05/2014,0.03,3,365
101841,Flat + Wifi: 20min to London Bridge,52542,Sharon,,Croydon,51.37844772,-0.079735741,Entire home/apt,55,3,3,11/08/2015,0.06,1,7
364017,Massive6BR 25min to central London,2349744,Subha,,Croydon,51.37295511,-0.119663174,Entire home/apt,169,3,31,03/09/2016,0.65,3,348
13189903,Victorian Terrace House (2 bed) with garden,34113564,Laura,,Croydon,51.3947235,-0.070144905,Entire home/apt,100,1,0,,,1,0
9147070,Spacious London Apartment with Gym,47622612,Serene,,Croydon,51.40639161,-0.120786809,Entire home/apt,59,3,4,12/09/2016,0.83,1,362
13978096,"Spacious apartment, free wi-fi & 2 king size beds",83375048,Alistair,,Croydon,51.40522136,-0.119620878,Entire home/apt,48,1,8,24/09/2016,3.87,1,1
10590446,Unique contemporary home from home,54608267,Pat,,Croydon,51.33868112,-0.129360277,Entire home/apt,120,1,1,06/02/2016,0.12,2,352
9230691,Newly renovated- East Croydon,38934270,Keira,,Croydon,51.3774254,-0.08031172,Entire home/apt,40,3,12,23/09/2016,2.95,2,260
13107158,"Elegant serviced apartments, central Croydon. Apt2",72850980,Michael,,Croydon,51.37346267,-0.108036508,Entire home/apt,80,3,5,27/09/2016,1.47,2,173
5897410,"08 Convenience, Space and Value.",30629100,Gary,,Croydon,51.38360627,-0.08233509,Entire home/apt,50,4,20,16/09/2016,1.33,9,133
15201711,Big4 bedroom House,96540689,Toby,,Croydon,51.33952452,-0.102104002,Entire home/apt,125,1,0,,,1,361
13105997,Luxury 2 Bedroom Apartment Croydon,72840829,Nauman,,Croydon,51.37295019,-0.101180672,Entire home/apt,110,2,2,05/08/2016,0.67,1,155
11138061,Spacious Crystal Palace house,27889493,Lindsey,,Croydon,51.41754543,-0.082931751,Entire home/apt,97,7,2,28/07/2016,0.43,1,151
10742928,Lux Apt - 25mins from London centre,55538075,Jeroen,,Croydon,51.39920424,-0.096188295,Entire home/apt,99,2,11,26/09/2016,3.24,1,8
15198351,Spacious 1 Bedroom Apartment with Parking,96512821,Tej,,Croydon,51.37335697,-0.1157334,Entire home/apt,75,1,1,02/10/2016,1,1,82
