id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
8122554,En-suite Double room in Kingston,26485806,Nasreen,,Kingston upon Thames,51.4124066,-0.292822496,Private room,45,2,1,17/03/2016,0.15,2,88
4984252,2 double ensuite New Malden!,25693617,Cathal,,Kingston upon Thames,51.3925346,-0.250166781,Private room,80,1,4,24/12/2015,0.21,1,359
9964915,Large Room in Happy Home,51206977,Fatoum,,Kingston upon Thames,51.39373779,-0.249488597,Private room,31,1,13,01/10/2016,1.58,3,295
13502656,Beautiful specious En Suite Loft room in Surbiton,77455144,Eda,,Kingston upon Thames,51.38401143,-0.292808194,Private room,35,2,12,16/09/2016,3.36,2,284
589931,Bright Large Loft Room- ensuite ,2911356,Deborah,,Kingston upon Thames,51.38193584,-0.302632434,Private room,45,1,0,,,1,356
13871837,Small double bed in bright bedroom SW London house,66553928,Caroline Et Alan,,Kingston upon Thames,51.39640789,-0.281997359,Private room,20,3,2,14/08/2016,0.92,4,27
13894873,Comfortable single bedroom Kingston upon Thames,47707771,Nicola,,Kingston upon Thames,51.4070901,-0.290147818,Private room,25,1,3,03/08/2016,1.38,1,0
8651444,Double room in newly refurbed flat,45469611,Charlie,,Kingston upon Thames,51.41067323,-0.305751175,Private room,55,1,5,26/09/2016,1.04,2,86
13850199,Kingston University- Chancellors Hall of Residence,77447824,Cristina,,Kingston upon Thames,51.42194834,-0.27474742,Private room,35,1,0,,,2,32
12485566,Double room to let at SW15 3RQ,67591528,Farideh,,Kingston upon Thames,51.43174293,-0.260239692,Private room,60,1,0,,,1,0
11698673,London best price nice doble room,3903207,Graziano,,Kingston upon Thames,51.40175833,-0.264204276,Private room,29,1,0,,,1,365
6849065,Lovely Victorian house in Surbiton,27121841,Sian,,Kingston upon Thames,51.38912918,-0.292348364,Private room,40,1,14,03/07/2016,0.96,1,359
15235048,"Spacious, clean bedroom with 3 beds",96846766,Kirsty,,Kingston upon Thames,51.35759016,-0.304975688,Private room,40,1,0,,,1,342
9071230,Double Bedroom for rent in Kingston,35782412,Aurore,,Kingston upon Thames,51.40656406,-0.292301399,Private room,25,7,0,,,1,0
8020994,Large room in New Malden,35325452,Marek,,Kingston upon Thames,51.40543671,-0.262080936,Private room,49,2,5,09/07/2016,0.41,1,180
10796036,Double bedroom in cosy home.,7732315,Bella,,Kingston upon Thames,51.40641889,-0.28513274,Private room,30,1,3,07/09/2016,0.39,2,355
15230812,"Quiet, Clean, Comfy and spacious room with parking",22920610,Katherine,,Kingston upon Thames,51.35926169,-0.290457573,Private room,29,1,0,,,1,344
15055730,Single room with double bed/Kingston upon Thames,72137588,Siva,,Kingston upon Thames,51.42209941,-0.279609286,Private room,23,3,0,,,2,364
14179885,Home Away From Home,85892160,Ojevwe (OJ),,Kingston upon Thames,51.40792506,-0.286561242,Private room,29,2,0,,,1,310
12081174,Clean & Modern King size En-Suite,16735895,Misuk,,Kingston upon Thames,51.41570382,-0.305020356,Private room,65,1,1,02/08/2016,0.48,1,365
14572076,Cosy Double bedroom in Kingston Upon Thames,87821955,Giri,,Kingston upon Thames,51.41329079,-0.292341266,Private room,80,1,1,15/09/2016,1,3,365
5202762,"Double room , Close to station and brand new",26913227,Muhammad,,Kingston upon Thames,51.39173967,-0.306967034,Private room,39,1,0,,,1,0
14568871,Single Room in Very Nice House,90248222,Jenny,,Kingston upon Thames,51.39756877,-0.260419162,Private room,25,1,1,01/09/2016,0.91,2,46
14306960,FM 하우스,87429490,Sarah,,Kingston upon Thames,51.38034446,-0.246432162,Private room,43,1,0,,,1,358
12280058,The Purple-Blue Room in Happy Home,51206977,Fatoum,,Kingston upon Thames,51.39298374,-0.248758671,Private room,30,1,6,16/09/2016,1.13,3,307
14041474,White House R3,83582172,Grace,,Kingston upon Thames,51.36050035,-0.309046641,Private room,50,1,1,13/08/2016,0.58,4,361
4472617,Double room in Surbiton,23205798,Maryse,,Kingston upon Thames,51.3955187,-0.283066187,Private room,50,1,8,06/09/2016,0.46,1,365
10240132,SW15 3QR  1 large double bedroom,52630573,Brigitte,,Kingston upon Thames,51.43016847,-0.25723954,Private room,50,1,0,,,1,365
13034630,"Great double room, close to London.",4245635,Jessica,,Croydon,51.31956742,-0.135908212,Private room,33,1,5,23/09/2016,2.08,1,348
2805238,Rooms with private bathroom & WiFi,14350054,Penny,,Croydon,51.34983035,-0.037257803,Private room,43,2,15,09/09/2016,0.54,1,299
13102734,"Double room.  20 min to Gatwick, train to London",72812062,Maria,,Croydon,51.31569073,-0.086968141,Private room,40,1,2,24/09/2016,0.83,1,71
14647682,Room available in South Croydon,90945242,Nicola,,Croydon,51.35444251,-0.095970622,Private room,25,1,6,01/10/2016,6,1,6
15168227,Great location,31453427,Elaine,,Croydon,51.33534063,-0.120922503,Private room,40,1,0,,,1,165
